Ref ID,First Author,Year,Tissue Category,Tissue Detail,Methodology Category,Methodology Detail,Title,Journal,DOI,N Donors,N Replicates,Cryoprotectant / Method,Freezing Rate,Storage,Thaw Method,Pre-Freeze Viability (%),Post-Thaw Viability (%),Cell Recovery (%),Apoptosis Data,Cell Cycle,DNA Damage,Surface Markers,Functional Assays,Immunomodulation,Gene Expression,Key Quantitative Data Points,Statistical Tests,Key Finding,Limitations,Clinical Relevance
▶  BONE MARROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#397,Aabling,2023,Bone Marrow,Human adipose-derived MSCs (bone marrow protocol; clinically grade),Cryobiology / In Vitro Functional,"Post-thaw viability (7-AAD), cell count, light microscopy, flow cytometry",Reconstitution and post-thaw storage of cryopreserved human MSCs: pitfalls and optimisations for clinically compatible formulants,Regenerative Therapy,10.1016/j.reth.2023.03.006,5,5 independent experiments,10% DMSO (standard); saline ± 2% HSA as reconstitution solutions,"Controlled-rate, −1 °C/min",Liquid nitrogen,37 °C water bath,Not separately reported (fresh harvest),>90% (7-AAD negative) in saline-HSA formulations,Cell loss significant when reconstituted in protein-free solution; stable ≥4 h in saline-HSA,Not quantified separately,Not reported,Not reported,"CD73+, CD90+, CD105+ maintained; HI-MSC >98% 7-AAD+ at 24 h","Cell stability over time (0–4 h), cell concentration effects (1×10⁴–5×10⁶/mL)",Not assessed,Not reported,Cell loss at concentrations <5×10⁴/mL; no aggregation at wet ice vs. RT aggregation in culture medium; saline-HSA = culture medium in viability (p>0.05); MSC stability ≥4 h confirmed,"Two-way ANOVA, one-way ANOVA; *p<0.05, **p<0.01, ***p<0.001","Saline + 2% HSA is a clinically compatible, simple reconstitution solution. Protein-free solutions cause significant cell loss. RT storage causes aggregation; wet ice preferred.",Adipose tissue source (not bone marrow); single centre; no functional potency testing,High – directly applicable to GMP MSC reconstitution protocols
#212,Antebi,2019,Bone Marrow,"Human bone marrow-derived MSCs (BM-MSCs), commercial (AllCells)",Cryobiology / In Vitro Functional,"Flow cytometry, Annexin V/PI apoptosis, CFU assay, T-cell proliferation, gene expression (qPCR), metabolic activity (MTS)",Cryopreserved mesenchymal stem cells regain functional potency following a 24-h acclimation period,J Translational Medicine,10.1186/s12967-019-2038-5,Not specified (commercial source),Multiple independent experiments,90% FBS + 10% DMSO,−80 °C overnight → liquid nitrogen (7 weeks),Liquid nitrogen (~7 weeks),37 °C water bath,"~80–90% (trypan blue, fresh culture)",FT: ~80% (trypan blue); reduced vs FC (p<0.05). TT (24 h): comparable to FC,Not separately quantified,FT: significantly more apoptotic (p<0.05) and necrotic (p<0.01) than FC/TT. TT: apoptosis significantly reduced vs FT (p<0.05),Not reported,Not reported,"FT: CD44↓ and CD105↓ (p<0.05). FC and TT: no change in CD44, CD105, CD73, CD90","MTS metabolic activity (FT↑ vs FC p<0.05); CFU-F (FT↓ vs FC p<0.05); T-cell proliferation inhibition (TT > FT, both vs. no-MSC control p<0.001)",All groups arrested T-cell proliferation; TT significantly more potent than FT (p<0.05); IFN-γ secretion: FT↓ vs FC (p<0.05),"FT: ↓VEGF, ↓HGF, ↓SDF-1, ↓IL-10; TT: ↑VEGF, ↑HGF, ↑SDF-1 (reversal of FT suppression)","T-cell proliferation inhibition: FC ~60%, FT ~45%, TT ~65% (at 1:3 MSC:PBMC). IFN-γ: FC ~600 pg/mL, FT ~200 pg/mL, TT ~600 pg/mL",One-way ANOVA with Tukey post-hoc; p<0.05 threshold,"Freshly thawed MSCs have reduced immunopotency and elevated apoptosis. 24-h acclimation fully restores CD surface markers, gene expression, and T-cell suppression.",Single commercial BM donor source; 90% FBS (not clinically translatable); no in vivo data,High – supports 24-h recovery period before clinical infusion
#223,Chinnadurai,2016,Bone Marrow,"Human BM-MSCs (Emory University, multiple donors)",Flow Cytometry / Immunophenotyping,"Flow cytometry (Ki67, 7-AAD, Annexin V, CFSE), ELISA (IDO), bioluminescence imaging (in vivo), single-cell cytotoxicity (PanToxiLux)",Cryopreserved Mesenchymal Stromal Cells Are Susceptible to T-Cell Mediated Apoptosis Which Is Partly Rescued by IFNγ Licensing,Stem Cells,10.1002/stem.2415,Multiple (≥2 independent MSC donors),≥2 independent experiments per assay,10% DMSO ± HSA; DMSO-free (HypoThermosol-based) tested as alternative,Step-down controlled-rate freezer (programme detailed in paper),Liquid nitrogen,37 °C water bath,Not directly stated (live culture reference),Trypan blue viability comparable live vs cryo (~80–90%); 7-AAD viability similar,Total viable cell yield: similar between live and cryo groups (not significantly different),Cryo-MSCs: significant apoptosis/lysis upon co-culture with autologous PBMCs (p<0.05). Enhanced lysis with allogeneic PBMCs. Caspase inhibitor (Z-VAD-FMK) did not rescue.,Not reported,Not reported,PDL1 expression confirmed post IFNγ pre-licensing,T-cell proliferation (Ki67 staining): Cryo-MSCs attenuated suppression in direct co-culture vs transwell (p<0.05). IFNγ-licensed cryo-MSCs restored suppression to live-MSC level.,"IDO activity: Live MSCs induced IDO; freshly thawed cryo-MSCs refractory to IFNγ-induced IDO. IFNγ pre-licensing rescues IDO induction (IDO inhibitor 1-MT blocks rescue, p<0.05). Cytotoxic T-cell degranulation: Cryo-MSCs failed to inhibit; IFNγ-licensed cryo-MSCs inhibited.",HSP70A and HSP70B mRNA: significantly upregulated in cryo-MSCs vs live (p<0.05),Lung tropism (bioluminescence): Live MSCs 100% reference; Cryo-MSCs 40±24%; IFNγ-Cryo 44±32% (not significantly different from Cryo). T-cell proliferation inhibition restored to ~live level with IFNγ pre-licensing.,"One-way ANOVA, Tukey multiple comparison; two-tail t-tests; p<0.05",Cryo-MSCs susceptible to T-cell apoptosis in direct co-culture. IFNγ pre-licensing rescues in vitro immunosuppression (IDO-dependent) but does NOT rescue in vivo lung homing defect.,Murine in vivo model; limited donor numbers; no clinical translation testing,High – identifies irreversible vs reversible cryoinjury; IFNγ pre-licensing strategy
#60,Ding,2024,Bone Marrow,"Human bone mesenchymal stem cells (hBMSCs), commercial source",Cryobiology / In Vitro Functional,"AO/PI viability staining, Annexin V/PI apoptosis (flow), comet assay (DNA damage), ROS assay (DCFH-DA), cell cycle (PI flow cytometry), F-actin (phalloidin), qPCR (adipogenic/osteogenic genes), scratch migration assay","Cryopreservation with DMSO affects the DNA integrity, apoptosis, cell cycle and function of human bone mesenchymal stem cells",Cryobiology,10.1016/j.cryobiol.2024.104847,Not specified,Triplicate minimum (qPCR); n not stated for viability,10% DMSO (D10) in standard medium,Slow cooling −1 °C/min controlled-rate,Liquid nitrogen,37 °C water bath,Fresh cells reference (~98%+ by AO/PI),Post-thaw immediate: high (similar to fresh); delayed: significant decline over 24–48 h culture,Not separately calculated,10–15% apoptosis immediately post freeze-thaw (Annexin V+/PI−). Increases over 24–48 h culture,"G0/G1 arrest at 24 h post-thaw culture (PI staining, p<0.05 vs fresh)",Comet assay: ~3.8× more DNA damage/repair (tail moment) vs fresh cells at 48 h post-thaw culture (p<0.01),Not reported,"ROS: significantly ↑ in post-thaw cells (p<0.05); F-actin: disorganised, reduced intensity vs fresh; Migration: reduced scratch-wound closure (p<0.05); Differentiation genes: adipogenic (ADIPOQ, FABP4) ↓; osteogenic (RUNX2, COL1A1) ↓ (p<0.05)",Not assessed,Adipogenic and osteogenic gene expression significantly reduced post-thaw vs fresh (p<0.05),Apoptosis: 10–15% immediate; DNA damage: 3.8× fold; G0/G1 arrest: statistically significant at 24 h; ROS: significantly elevated,"Student t-test, one-way ANOVA; p<0.05","10% DMSO cryopreservation causes 10–15% immediate apoptosis, 3.8× DNA damage, G0/G1 cell cycle arrest, elevated ROS, and reduced differentiation/migration capacity.",No comparison to DMSO-free alternatives; commercial cell source; no in vivo validation,High – quantifies DMSO-mediated cell damage; strong rationale for DMSO reduction/elimination
#110,Dovgan,2021,Bone Marrow,"Human BM-derived MSCs (donor-expanded, passage 3–5)",Cryobiology / In Vitro Functional,"Trypan blue viability, flow cytometry (Annexin V/7-AAD, surface markers), IDO activity (HPLC), T-cell proliferation (CFSE), trilineage differentiation",Intracellular delivery of trehalose renders mesenchymal stromal cells viable and immunomodulatory competent after cryopreservation,Cytotechnology,10.1007/s10616-021-00465-4,Multiple donors (n not specified),Triplicate independent experiments,Intracellular trehalose (electroporation-loaded); compared vs 10% DMSO,Controlled-rate −1 °C/min,Liquid nitrogen,37 °C water bath,~95–98% (trypan blue),Trehalose group: ~85–90% (comparable to DMSO); DMSO: ~88–92%,Similar between trehalose and DMSO groups (p>0.05),Annexin V+: trehalose group comparable to DMSO (p>0.05); both elevated vs non-frozen,Not reported,Not reported,"CD73+, CD90+, CD105+ maintained in both trehalose and DMSO groups (>95%)","IDO activity: DMSO group impaired IFNγ response immediately post-thaw; trehalose group: IDO activity preserved (p<0.05 vs DMSO). Trilineage differentiation: both groups maintained osteogenic, adipogenic, chondrogenic potential",T-cell suppression: trehalose group comparable to fresh MSCs; DMSO group attenuated immediately post-thaw (p<0.05),Not reported,IDO activity (kynurenine/μg protein): trehalose ~similar to fresh; DMSO ~50% of fresh immediately post-thaw. T-cell proliferation: trehalose group suppressed to ~30% vs ~55% in DMSO group (% T-cell proliferation remaining),"Student t-test, one-way ANOVA; p<0.05","Intracellular trehalose preserves MSC viability, surface markers, and crucially maintains immunomodulatory competence (IDO activity, T-cell suppression) that is impaired with DMSO.",Electroporation loading efficiency variable; no in vivo data; limited donor numbers,High – provides DMSO-free alternative preserving full immunomodulatory function
#270,Heard,2025,Bone Marrow,Human BM-derived MSCs (research-grade),Mitochondrial Bioenergetics,"Seahorse XF analyser (OCR/ECAR), Western blot (mitochondrial proteins), flow cytometry (viability, mitochondrial membrane potential – JC-1)",Cold storage effects on mitochondrial bioenergetics and protein expression in human mesenchymal stromal cells,Cytotherapy,10.1016/j.jcyt.2025.04.066,Not specified,n ≥3,"Cold storage (hypothermic, 4 °C) – NOT cryopreservation; comparison to fresh",N/A (hypothermic storage study),4 °C (hours to days),N/A,Fresh cells reference (~95%+),"Cold storage: progressive decline – >80% at 24 h, significant decline at 48–72 h (p<0.05)",Not calculated,JC-1: mitochondrial membrane potential ↓ with extended cold storage (p<0.05),Not reported,Not reported,Not reported,Seahorse OCR (basal respiration): ↓ with cold storage duration (p<0.05); maximal respiratory capacity ↓; ECAR (glycolytic flux): relatively preserved initially; mitochondrial protein expression (OXPHOS complexes): altered by cold storage,Not directly assessed,Western blot: mitochondrial OXPHOS complex proteins differentially expressed post cold storage,"Basal OCR: ~50–60% reduction at 48 h cold storage vs fresh (p<0.05). Mitochondrial membrane potential: significantly depolarised at 48 h. ECAR: maintained at 24 h, reduced at 48 h",One-way ANOVA; paired t-tests; p<0.05,Cold storage impairs mitochondrial bioenergetics in a time-dependent manner. Significant OCR decline by 48 h. Mitochondrial protein expression altered. Implications for cold-chain cell logistics.,Not cryopreservation per se; limited to cold storage model; no functional (immunomodulation) endpoints,Moderate–High – informs cold-chain logistics for MSC product transport
#255,Hoogduijn,2016,Bone Marrow,"Human adipose tissue-derived MSCs (AT-MSCs), multiple donors",Transcriptomics (Bulk RNA-seq),"Whole genome expression microarray (Affymetrix HuGene 2.0), flow cytometry (tissue factor – CD142), procoagulant activity assay (thrombin generation), in vivo (murine IV infusion model)",Effects of Freeze-Thawing and Intravenous Infusion on Mesenchymal Stromal Cell Gene Expression,Stem Cells and Development,10.1089/scd.2015.0329,"Multiple (n not stated, ≥3)",Biological replicates per donor,10% DMSO (standard),−1 °C/min controlled-rate,Liquid nitrogen,37 °C water bath,Not reported,Not reported (study focused on transcriptomics),Not reported,Not reported,Not reported,Not reported,Tissue factor (CD142): significantly ↑ on surface of thawed AT-MSCs vs fresh (p<0.05),Procoagulant activity: thawed AT-MSCs show significantly ↑ thrombin generation vs fresh (p<0.05). Microarray: freeze-thaw effects on gene expression present but did not exceed inter-donor differences. IV infusion (2 h in murine lungs): major gene expression changes affecting multiple immunological pathways,IV infusion activates immunological response pathways in MSCs within 2 h,Freeze-thaw: altered whole genome expression; effects < inter-donor variation. IV infusion into lungs: >10-fold upregulation of multiple soluble factors (listed in supplementary). Procoagulant TF significantly elevated post-thaw,Differentially expressed genes (freeze-thaw): statistically significant but fewer than inter-donor differences. TF surface expression: significant ↑ post-thaw. Soluble factors: >10 genes with ≥10-fold upregulation in lung-exposed MSCs,Microarray differential expression analysis; paired comparisons; p-value corrections applied,Freeze-thaw alters gene expression but less than donor variability. Procoagulant TF significantly elevated post-thaw. IV infusion in lungs causes major immunological gene expression reprogramming within 2 h.,"AT-MSCs, not BM-MSCs; murine lung model; no clinical endpoints",High – identifies procoagulant risk of thawed MSC infusion; lung microenvironment reprogramming
#394,Johnson,2025,Bone Marrow,"Human BM-derived MSCs (donor-expanded, passage not stated)",Electrophysiology (DEP),"Dielectrophoresis (DEP): effective conductance (Geff), effective capacitance (Ceff), cytoplasmic conductivity (σcyto), cell radius; resting membrane potential estimation; trypan blue viability",Electrophysiological analysis of mesenchymal stem cells post-cryopreservation highlights the need for a recovery period: implications for cell-based therapies,Stem Cell Research & Therapy,10.1186/s13287-025-04850-0,Not specified,Multiple measurement replicates per time point,10% DMSO (and alternatives tested),Controlled-rate,Liquid nitrogen,37 °C water bath,~95% (trypan blue),"Standard viability: comparable to pre-freeze (trypan blue, ~85–90%); electrophysiology: significantly deviated from pre-freeze state at 0 h and 24 h post-thaw",Not calculated,Not separately quantified,Not reported,Not reported,Not reported,"DEP parameters: Ceff (membrane capacitance), Geff (membrane conductance), σcyto significantly altered immediately post-thaw vs pre-freeze (p<0.05). Ceff did NOT fully recover to pre-freezing levels even after 3 days. σcyto (resting membrane potential proxy): significantly deviated at 0 h, partial recovery by Day 3. DMSO group: prolonged recovery vs alternative CPA.",Not assessed,Not reported,MSC electrophysiology deviates significantly from pre-freeze phenotype at 0 h and does not resemble pre-freeze state until Day 3 post-thaw. Cell membrane capacitance: incomplete recovery at Day 3 (p<0.05 vs pre-freeze). Standard viability: no significant difference (trypan blue) – highlights viability underestimates cellular dysfunction.,"ANOVA, paired comparisons; significance at p<0.05",Electrophysiological analysis reveals MSC dysfunction invisible to trypan blue viability assays. Cells require ≥3 days post-thaw before electrophysiology resembles pre-freeze state. Membrane capacitance incompletely recovers. DMSO prolongs recovery.,Novel DEP technique; limited donor numbers; no functional (immunomodulation/differentiation) correlation,High – challenges standard viability-only release criteria; supports longer recovery periods
#396,Lam,2026,Bone Marrow,"Commercial BM-MSCs and donor-derived BM-MSCs, passages 2/4/8 (MCB/WCB/FP)",Cryobiology / In Vitro Functional,"Trypan blue / NC-200 viability, flow cytometry (surface markers, CFU-F), Seahorse metabolic (implied), qPCR differentiation, karyotype, telomere length, tumorigenicity, secretome (ELISA/multiplex), 3D microcarrier culture",Evaluation of DMSO-free cryopreservation reagent XT-Thrive for establishment of mesenchymal stem cell bank platform,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2026.1736526,Commercial + donor-derived (n not fully stated),Multiple passages tested,"XT-Thrive (DMSO-free) vs CryoStor CS10 (10% DMSO, serum-free)",Controlled-rate,Liquid nitrogen,37 °C water bath,Pre-freeze: comparable between XT-Thrive and CS10 (~95%+),Post-thaw 0 h: XT-Thrive ≥ CS10; post-thaw 4 h: both groups high but MCB stage: significant decline regardless of reagent (p<0.05),XT-Thrive: superior recovery vs CS10 at later passages; MCB stage lower recovery in both,Not separately quantified,Not reported,Genomic integrity: XT-Thrive preserved; CS10 (DMSO) associated with genomic instability signals,"CD73+, CD90+, CD105+ maintained in both; CFU-F efficiency: XT-Thrive > CS10 (p<0.05)",Proliferation (cPDL): XT-Thrive > CS10 at later passages (p<0.05). Attachment efficiency post-thaw: XT-Thrive superior. Metabolic activity: XT-Thrive superior. Differentiation: both groups maintained trilineage. Secretome: preserved. Karyotype: stable in both. Tumorigenicity: negative in both.,Immunomodulatory effects evaluated (details in paper); XT-Thrive comparable/superior to CS10,Not reported (transcriptomic),cPDL at FP stage: XT-Thrive significantly higher than CS10 (p<0.05). CFU-F: XT-Thrive > CS10 at all passage stages. MCB viability decline at 4 h post-thaw: both groups (early passage sensitivity). XT-Thrive attachment efficiency: superior to CS10 (p<0.05).,ANOVA with multiple comparisons; p<0.05,"XT-Thrive (DMSO-free) outperforms CS10 in post-thaw recovery, proliferation, clonogenicity, and preserves genomic integrity across MCB/WCB/FP banking stages. Supports clinical-grade DMSO-free banking.",Single study group; limited donor numbers for donor-derived cells; 2026 pre-GMP (RUO only),Very High – directly addresses GMP banking platform development with DMSO-free reagent
#388,Liu,2017,Bone Marrow,"Human BM stromal cells from multiple centres (n=8 centres, diverse protocols)",Multi-Centre Comparative,"Flow cytometry (surface markers, apoptosis), CFU-F assay, trilineage differentiation, mixed lymphocyte reaction (MLR), gene expression microarray, colony-forming unit assay",Manufacturing differences affect human bone marrow stromal cell characteristics and function: Comparison of production methods and products from multiple centers,Scientific Reports,10.1038/srep46731,8 centres (≥1 donor each),Multiple per centre,"Various (centre-specific DMSO-based, 5–10% DMSO); heterogeneous protocols",Variable per centre,Liquid nitrogen (variable duration),Variable per centre,Variable per centre (range ~85–98%),Highly variable between centres (range ~70–95%),Highly variable between centres,Apoptosis markers varied significantly between centres,Not reported,Not reported,"CD73+, CD90+, CD105+ universally positive; CD31, CD34, CD45, HLA-DR negative across centres. Significant inter-centre variation in CD49a, CD54, CD106, CD166, HLA-ABC expression",CFU-F: significant inter-centre variation. Immunosuppression (MLR): some centres showed significant suppression; others did not (p<0.05 for inter-centre differences). Trilineage differentiation: variable efficiency,Significant inter-centre variation in T-cell suppression capacity (MLR),Microarray: substantial inter-centre differences in gene expression profiles; clustering by centre > clustering by passage,"CFU-F counts: range 10–85 colonies per 1000 cells across centres. MLR suppression: range 20–80% reduction in proliferation. Surface marker expression: e.g., CD106 ranged from <5% to >80% positive across centres","ANOVA, pairwise comparisons; statistical significance p<0.05; clustering analysis","Substantial inter-centre variability in BM-MSC characteristics, function, and gene expression. Manufacturing method is a dominant source of variability. Highlights critical need for standardisation.",Retrospective multi-centre design; donors not matched; different passages,Very High – foundational for clinical standardisation of MSC manufacturing
