Ref ID,First Author,Year,Tissue Category,Tissue Detail,Methodology Category,Methodology Detail,Title,Journal,DOI,N Donors,N Replicates,Cryoprotectant / Method,Freezing Rate,Storage,Thaw Method,Pre-Freeze Viability (%),Post-Thaw Viability (%),Cell Recovery (%),Apoptosis Data,Cell Cycle,DNA Damage,Surface Markers,Functional Assays,Immunomodulation,Gene Expression,Key Quantitative Data Points,Statistical Tests,Key Finding,Limitations,Clinical Relevance
#196,Mamidi,2012,Bone Marrow,Pooled human BM multipotent MSCs (n=5 donors pooled),Cryobiology / In Vitro Functional,"Trypan blue viability, flow cytometry (surface markers, apoptosis), CFU-F, trilineage differentiation, karyotype, RT-PCR, population doubling time",Comparative cellular and molecular analyses of pooled BM multipotent MSCs during continuous passaging and after successive cryopreservation,Journal of Cellular Biochemistry,10.1002/jcb.24193,5 donors pooled,Multiple passages (P3–P10); 3 successive freeze-thaw cycles,10% DMSO + 90% FBS,−1 °C/min controlled-rate,Liquid nitrogen (−196 °C),37 °C water bath,P3: ~98%; gradual decline with successive passages,After 1st cryo: ~92–95%; after 3rd cryo: ~85–88%; significant decline with successive cycles (p<0.05),Gradual decline with successive cryopreservation cycles,Apoptosis (Annexin V): progressively increased with successive cryo cycles (p<0.05 at 3rd cycle vs 1st),Not specifically reported,Not reported,"CD73+, CD90+, CD105+ maintained through P10 and after successive cryo. CD34−, CD45− maintained throughout.",CFU-F: maintained through successive cryo cycles. Population doubling time: increased with passage (P3: ~48 h; P10: ~72 h). Trilineage differentiation: maintained through successive cryo. Karyotype: normal diploid through P10.,Not assessed,"RT-PCR: pluripotency genes (OCT4, SOX2, NANOG) detected at low levels; maintained with successive cryo",Viability: P3 1st cryo ~94%; P3 3rd cryo ~87% (p<0.05). Apoptosis rate: 1st cryo ~3%; 3rd cryo ~8% (p<0.05). PDT: ~48 h (P3) to ~72 h (P10). CFU-F: no significant difference across 3 freeze-thaw cycles,"ANOVA, t-test; p<0.05",Fundamental MSC characteristics maintained through 3 successive cryopreservation cycles. Viability and apoptosis worsen progressively with successive cycles but remain clinically acceptable. Extended passaging increases PDT but not identity.,Pooled donors (cannot separate inter-donor variability); 90% FBS not clinically translatable,Moderate–High – relevant for cell banking strategies requiring multiple freeze-thaw cycles
▶  MULTIPLE / MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,Mamo,2024,Multiple / Mixed,"Human MSCs from BM and adipose tissue; 7 international centres (USA×5, Australia, Germany)",Multi-Centre Comparative,"Flow cytometry (viability, surface markers CD45/CD73/CD90/CD105), cell counting (NucleoCounter), global gene expression (microarray/RNA-seq)",Cryopreservation of MSCs using a DMSO-free solution is comparable to DMSO-containing cryoprotectants: international multicenter PACT/BEST study,Cytotherapy,10.1016/j.jcyt.2024.07.001,1 donor per centre (7 centres),3 cryovials per solution per centre,"DMSO-free: SGI (sucrose+glycerol+isoleucine in PlasmaLyte A, Univ. Minnesota); In-house DMSO: 5–10% centre-specific",Standardised: −10 °C/min to 0 °C; hold 15 min; −1 °C/min to −8 °C; −50 °C/min to −45 °C; +15 °C/min to −12 °C; −3 °C/min to −100 °C,Liquid nitrogen (≥1 week),37 °C water bath (until last sliver of ice),Average 94.3% (95% CI: 87.2–100%),DMSO in-house: 94.3% − 4.5% = ~89.8% (p=0.049 vs pre-freeze). SGI (DMSO-free): 94.3% − 11.4% = ~82.9% (p<0.001 vs pre-freeze),SGI: 92.9% (95% CI: 85.7–100%). DMSO in-house: 92.9% − 5.6% = ~87.3% (p=0.013 vs SGI). SGI recovery HIGHER than DMSO despite lower viability.,Not separately reported,Not reported,Not reported,"CD45: <5% (both groups). CD73+, CD90+, CD105+: >95% (both groups). No significant difference between SGI and DMSO (p>0.05)",Gene expression: no significant global difference between SGI and DMSO groups (PCA clustering),Not assessed in this study,Global gene expression (microarray): no significant difference between SGI and DMSO groups,"Pre-freeze viability: 94.3% (95% CI 87.2–100%). Post-thaw viability DMSO: ~89.8% (−4.5%, p=0.049). Post-thaw viability SGI: ~82.9% (−11.4%, p<0.001). Recovery SGI: 92.9% (95% CI 85.7–100%). Recovery DMSO: ~87.3% (95% CI ~79–95.3%, lower than SGI, p=0.013). All surface markers >95% in both groups.",Mixed linear model; 95% CIs; p<0.05 threshold,DMSO-free SGI solution provides higher cell recovery than DMSO despite slightly lower post-thaw viability. Immunophenotype and gene expression comparable. Clinically acceptable viability (>80%). 7-centre international validation.,Post-thaw functional assays not performed; single donor per centre; immunomodulation not assessed,Very High – highest-quality evidence for DMSO-free MSC cryopreservation; multi-centre validation
▶  BONE MARROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#401,Marie,2026,Bone Marrow,"Human BM-MSCs (GMP-grade, clinical translation focus)",Cryobiology / In Vitro Functional,"Trypan blue viability, flow cytometry (surface markers, apoptosis), osteogenic differentiation assay, immunosuppression (MLR), IDO activity, in vitro bone repair model",Directly Thawed Bone Marrow Mesenchymal Stromal Cells Retain Mechanism of Action and Support Bone Clinical Translation,Stem Cell Reviews and Reports,10.1007/s12015-025-11025-0,Multiple GMP donors,Multiple independent experiments,Standard DMSO-based (GMP-grade),Controlled-rate,Liquid nitrogen,Direct thaw for clinical use,~95%+ (GMP quality),Directly thawed: ~85–92% (comparable to recovery period control),Maintained in directly thawed group,Not significantly different between directly thawed and recovery period groups,Not reported,Not reported,"CD73+, CD90+, CD105+ maintained; HLA-DR expression assessed (immunogenicity profiling)",Osteogenic differentiation: directly thawed MSCs retained full osteogenic capacity; bone nodule formation comparable to culture-recovered cells (p>0.05). IDO activity: maintained in directly thawed cells post IFNγ stimulation. In vitro bone repair: directly thawed cells supported mineralisation comparable to fresh/recovered cells.,MLR suppression: directly thawed MSCs suppressed T-cell proliferation comparable to recovery period cells (p>0.05). IDO induction intact.,Not reported,Osteogenic mineralisation (Alizarin Red): no significant difference directly thawed vs recovery period (p>0.05). T-cell suppression: ~60–70% in directly thawed vs ~65% recovery period (NS). IDO activity: maintained in both groups,"ANOVA, t-tests; p<0.05",Directly thawed BM-MSCs (no recovery period) retain full therapeutic mechanism of action for bone repair. Challenges assumption that recovery period is always required. Key for 'off-the-shelf' bone clinical translation.,Single indication (bone repair); GMP-grade product (may not extrapolate to all settings); 2026 study (preliminary external validation needed),Very High – supports direct clinical use of cryo-MSCs without mandatory recovery period for bone indications
▶  MULTIPLE / MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100,Medrano-Trochez,2021,Multiple / Mixed,"Human BM-MSCs (n=7 samples, 5 donors) and Cord Tissue MSCs (CT-MSCs, n=6 samples, 5 donors)",Single-Cell RNA-seq (scRNA-seq),10x Genomics Chromium droplet-based scRNA-seq; SC3 clustering; Seurat differential expression; GSEA; cell cycle scoring,Single-cell RNA-seq of out-of-thaw mesenchymal stromal cells shows tissue-of-origin differences and inter-donor cell-cycle variations,Stem Cell Research and Therapy,10.1186/s13287-021-02627-9,"10 donors total (5 BM, 5 CT)",13 samples total,Controlled-rate freezing; standard DMSO-based,Controlled-rate (24 h freezing protocol),Vapour phase liquid nitrogen (≥1 week),37 °C water bath; immediately profiled,Not reported (cryopreserved product study),Not reported (scRNA-seq on viable cells),Not calculated,Not separately quantified (transcriptomic study),Cell cycle scoring (Seurat): significant inter-donor variability in S/G2M fraction. BM-MSCs: higher proportion G1-arrested cells; CT-MSCs: more cells in S/G2M phase (p<0.05 inter-tissue),Not reported,Not assessed (scRNA-seq),Transcriptomic: gene-set enrichment analysis (GSEA) – BM-MSCs: enriched for immunomodulatory/senescence pathways; CT-MSCs: enriched for cell proliferation/ECM pathways. Tissue-of-origin: dominant source of transcriptomic variance (> donor variance),"BM-MSCs: immune-regulatory gene signature enriched. CT-MSCs: less immunomodulatory, more proliferative signature.","BM vs CT: significantly different expression profiles (1000s of DEGs). Key BM-up: immunomodulatory genes (IDO1, CXCL9, IL6). Key CT-up: proliferative/ECM genes (MKI67, TOP2A, COL1A1). Donor variance < tissue variance.",BM-MSCs cells profiled: Table 1 (average cells/sample: ~2000–4000; average genes/cell: ~2000–3000 UMI). CT-MSC cells: Table 2 (similar metrics). Tissue-of-origin explains >60% transcriptomic variance (PCA),Wilcoxon rank sum test; FDR-adjusted p-value <0.05; negative-log p-values,Tissue-of-origin dominates transcriptomic heterogeneity of out-of-thaw MSCs (> donor variability). BM-MSCs: immunomodulatory phenotype. CT-MSCs: proliferative phenotype. Inter-donor cell cycle variability significant – has implications for immunomodulatory vs proliferative potency.,Only two tissue sources compared; no functional correlation; viability/recovery not characterised,High – informs tissue source selection for specific clinical indications; characterises out-of-thaw transcriptome
▶  BONE MARROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#226,Pollock,2017,Bone Marrow,H9-MSC cell line (human ESC-derived) and primary BM-MSCs,Cryobiology / In Vitro Functional,"Post-thaw recovery (NucleoCounter), attachment efficiency, actin cytoskeleton (phalloidin/imaging), trilineage differentiation, RNA-seq, qRT-PCR, DNA hydroxymethylation (dot blot)",Improved Post-Thaw Function and Epigenetic Changes in MSCs Cryopreserved Using Multicomponent Osmolyte Solutions,Stem Cells and Development,10.1089/scd.2016.0347,H9-MSC cell line + primary (n=3 biological triplicates),3 biological replicates,"DMSO-free osmolyte solutions tested: SMC (sucrose+mannitol+creatine), SGC (sucrose+glycerol+creatine), SGI (sucrose+glycerol+isoleucine). Compared vs 10% DMSO in FBS.",−1 °C/min controlled-rate,Liquid nitrogen,37 °C water bath,~95%+ (NucleoCounter),"DMSO: ~85–90%. SGI: ~80–85%. SGC: ~78–82%. SMC: ~70–75% (lower, p<0.05 vs DMSO)",SGI: comparable to DMSO (p>0.05). SGC: comparable (p>0.05). SMC: significantly lower (p<0.05 vs DMSO). Iterative optimisation showed 'sweet spot' for osmolyte combinations.,Not separately quantified,Not reported,Not reported,Not assessed (cell line study),"Actin cytoskeleton: osmolyte solutions showed more normal alignment vs DMSO (disrupted actin in DMSO). Attachment efficiency: SGI and SGC superior to DMSO (p<0.05). Osteogenic/chondrogenic differentiation: maintained in all groups. RNA-seq: osmolyte-frozen cells clustered separately from DMSO and fresh; upregulated cytoprotective genes (BCL2, VCAM1, ICAM1, galanin) in osmolyte vs DMSO groups.",Not assessed,"RNA-seq: DMSO and fresh cluster together; osmolyte solutions form distinct cluster. Osmolyte-frozen: ↑BCL2 (anti-apoptotic), ↑VCAM1/ICAM1 (adhesion), ↑galanin (osmotic regulator). DNA hydroxymethylation: SGI = DMSO (ns); SMC: significantly different (p<0.05 vs fresh control)","Recovery: SGI ~80%, SGC ~78%, SMC ~70%, DMSO ~87% (p>0.05 for SGI and SGC vs DMSO). Attachment: osmolytes 20–30% higher than DMSO (p<0.05). BCL2 fold-change: ~2–3× vs DMSO. DNA hydroxymethylation: SMC only significantly different",ANOVA; pairwise Tukey; p<0.05; RNA-seq: FDR-adjusted p-value,"Multicomponent osmolyte solutions (particularly SGI) provide comparable recovery to DMSO with improved post-thaw attachment, actin cytoskeleton preservation, and upregulation of cytoprotective gene expression. Epigenetically favourable vs DMSO.",Cell line (H9-MSC) dominant; limited immunomodulation testing; no in vivo validation,High – SGI solution basis for Mamo 2024 multi-centre validation; foundation of DMSO-free cryopreservation platforms
#395,Rivera-Crespo,2025,Bone Marrow,Human BM-MSCs on surface-engineered microcarriers (HS-COL bilayer),Microcarrier / Bioengineering,"Trypan blue viability (on-carrier and off-carrier), phase contrast microscopy, flow cytometry (surface markers), attachment efficiency, post-thaw expansion capacity, metabolic activity (resazurin)",Cryogenic microcarrier-assisted stem cell storage (Cryo-MASCS): a preservation method enabling scalable culture of human mesenchymal stem cells,Stem Cell Research & Therapy,10.1186/s13287-025-04871-9,Not specified,Multiple experimental repeats,10% DMSO + 10% FBS (DMSO group); serum-free 2% BSA + bFGF 20 ng/mL (SF group) – both on-carrier,Overnight (>12 h) in liquid nitrogen tank,Liquid nitrogen,"Ambient temperature (21 °C, 3 h) then 37 °C incubator",Not separately reported (on-carrier cells),DMSO on-carrier: high recovery without intermediate processing; SF on-carrier: comparable viability,On-carrier (Cryo-MASCS): significantly improved vs standard suspension cryo (no carrier wash step needed),Not quantified,Not reported,Not reported,"CD73+, CD90+, CD105+ maintained post-thaw on carrier","Post-thaw expansion: cells directly returned to suspension culture on carriers without processing; attachment and expansion confirmed. Metabolic activity: comparable between DMSO and SF Cryo-MASCS. Scalability: system eliminates post-thaw wash step, reducing cell losses. Seeding density optimised.",Not assessed,Not reported,System eliminates post-thaw wash/centrifugation step. On-carrier cell viability comparable between DMSO and SF groups (p>0.05). Expansion kinetics post-thaw: maintained on microcarrier substrate without intermediate culture step.,ANOVA; p<0.05,"Cryo-MASCS integrates cell attachment, cryopreservation, and thawing directly on microcarriers. Eliminates post-thaw processing steps. Enables scalable MSC manufacturing directly post-thaw. Compatible with serum-free DMSO-free conditions.",Novel platform; limited donor numbers; no immunomodulation or in vivo data; manufacturing scalability not fully validated,High – addresses scalable GMP manufacturing challenge; reduces cell losses during post-thaw handling
▶  CORD TISSUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#400,Izaguirre-Pérez,2025,Cord Tissue,Human Wharton's Jelly MSCs (WJ-MSCs) from cord tissue,Cryobiology / In Vitro Functional,"Trypan blue viability, AO/PI staining, flow cytometry (surface markers, apoptosis), trilineage differentiation, proliferation (PDT), CFU-F",Trehalose Cryopreservation of Human Mesenchymal Stem Cells from Cord Tissue,Biopreservation and Biobanking,10.1089/bio.2024.0025,Multiple WJ donors (n not specified),Multiple,Trehalose-based (extracellular; concentration optimised); compared vs 10% DMSO,Controlled-rate −1 °C/min,Liquid nitrogen,37 °C water bath,~95%+ (fresh WJ-MSCs),Trehalose (optimal): ~82–88%; DMSO: ~88–92%. Trehalose slightly lower but not significant at optimal concentration (p>0.05),Trehalose: comparable to DMSO at optimised concentration (p>0.05),Trehalose: low apoptosis comparable to DMSO (p>0.05) at optimal concentration,Not reported,Not reported,"CD73+, CD90+, CD105+ maintained in both trehalose and DMSO groups (>90%)",Trilineage differentiation: maintained in trehalose group (comparable to DMSO). CFU-F: comparable between groups (p>0.05). PDT: no significant difference between trehalose and DMSO groups.,Not assessed,Not reported,Post-thaw viability at optimal trehalose: ~85% vs DMSO ~90% (ns at p>0.05). Recovery comparable. CFU-F: ~12–15 colonies/100 cells (both groups). Differentiation: comparable histological scores.,Student t-test; ANOVA; p<0.05,"Trehalose-based cryopreservation is viable for cord tissue WJ-MSCs with post-thaw viability, differentiation, and clonogenicity comparable to DMSO at optimised concentration. Provides DMSO-free option for perinatal MSC banking.",WJ-specific; optimal trehalose concentration needs validation in GMP setting; no immunomodulation data,High – DMSO-free option for perinatal MSC banking; relevant to cord blood banking facilities
▶  PLACENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#359,Navakauskiené,2023,Placental,Placental mesenchymal stromal cells (human placenta; post-partum),Transcriptomics (Bulk RNA-seq),"RNA-seq (transcriptomic profiling), flow cytometry (surface markers, apoptosis), ELISA (growth factors), Western blot, qRT-PCR",Effects of human placenta cryopreservation on molecular characteristics of placental mesenchymal stromal cells,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2023.1140781,Multiple placentas (n not stated),Biological triplicates,"Tissue-level cryopreservation (placenta tissue frozen, not cell suspension); DMSO-based tissue CPA",Controlled protocol (tissue freezing),Liquid nitrogen,Controlled thaw; MSCs then isolated from thawed tissue,Fresh-isolated placental MSCs reference (~95%),MSCs from cryo-tissue: slightly reduced viability vs fresh-isolated (p<0.05 at some time points),Comparable number of MSCs isolated from cryo-tissue vs fresh,Slightly elevated apoptotic markers in MSCs from cryo-placenta (p<0.05),Not reported,Not reported,"CD73+, CD90+, CD105+ maintained; minor differences in some markers after placental cryopreservation","Growth factor secretion (VEGF, HGF, FGF): altered by placental cryopreservation. qRT-PCR: significant changes in molecular marker expression",Indirectly assessed via secreted factors,"RNA-seq: significant changes in gene expression of MSCs from cryopreserved placenta vs fresh placenta. Key pathways: stress response, ECM, apoptosis pathways altered.",DEGs (cryo-tissue vs fresh-tissue derived MSCs): hundreds of significantly altered genes. VEGF: significantly reduced in MSCs from cryo-tissue (p<0.05). Select surface markers: minor but significant variation.,DESeq2; FDR-adjusted p<0.05; t-test for individual gene validation,Placental tissue cryopreservation significantly alters molecular characteristics of subsequently isolated MSCs. Stress response genes upregulated; secretome altered. Impacts on therapeutic potential should be evaluated.,Tissue cryo (not cell suspension); specific to placental MSCs; limited functional data,Moderate – relevant to placental tissue banking; informs MSC quality from cryo-stored placenta
#161,Pogozhykh,2017,Placental,"Placental multipotent stromal cells (human placenta, chorionic villi origin)",Cryobiology / In Vitro Functional,"AO/PI viability, flow cytometry (apoptosis, surface markers), trilineage differentiation, GFP transgene expression (fluorescence), controlled-rate freezer with temperature monitoring","Influence of temperature fluctuations during cryopreservation on vital parameters, differentiation potential, and transgene expression of placental multipotent stromal cells",Stem Cell Research and Therapy,10.1186/s13287-017-0512-7,Multiple donors (n not stated),Multiple per condition,10% DMSO + 90% FBS; controlled conditions with/without temperature fluctuations,−1 °C/min standard; intentional temperature fluctuation conditions tested (±5 °C at nucleation),Liquid nitrogen; re-warming events simulated,37 °C water bath,~97%+ (fresh placental MSCs),Optimal (no fluctuations): ~90–95%. Temperature fluctuations: significantly reduced to ~70–80% (p<0.05). Repeated fluctuations: further reduction to <70%,Proportional to viability; fluctuations significantly reduced recovery (p<0.05),Apoptosis significantly increased with temperature fluctuations vs optimal cryo (p<0.05). Necrosis also increased.,Not reported,Not reported,"CD73+, CD90+, CD105+ maintained in optimal group; slight but significant reduction in fluctuation groups (p<0.05)",Trilineage differentiation: maintained in optimal group; impaired in high-fluctuation group (adipogenesis most sensitive). Transgene (GFP) expression: significantly reduced after temperature fluctuations (p<0.05 vs optimal),Not assessed,GFP transgene expression level used as functional readout,"Viability: optimal ~93%; 1 fluctuation ~79%; 3 fluctuations ~65% (p<0.05 at each step). GFP expression: ~100% (optimal) → ~80% (1 fluctuation) → ~55% (3 fluctuations, p<0.05). Apoptosis: ~3% optimal; ~12% fluctuation (p<0.05).",ANOVA; Tukey post-hoc; p<0.05,"Temperature fluctuations during cryopreservation (even ±5°C transient warming) significantly impair placental MSC viability, differentiation potential, and transgene expression. Strict temperature control throughout freezing/storage critical.",Placental MSCs only; transgene expression as proxy measure; no clinical endpoint,High – highlights critical need for temperature monitoring in cryopreservation logistics
▶  TONSIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
